full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,70160,70160,5537,77,77,11,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,52320,52320,6473,290,290,27,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,17984,17984,3772,76,76,11,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28391,28391,2193,8,8,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21316,21316,1993,11,11,2,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,25101,25101,1524,48,48,1,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5853,5853,1465,2,2,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,11446,11446,1211,38,38,2,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9050,9050,1172,5,5,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7265,7265,504,6,6,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,4942,4942,704,4,4,0,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5383,5383,458,-1,-1,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3658,3658,541,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3098,3098,410,0,0,-1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3152,3152,569,1,1,0,https://github.com/disler/claude-code-hooks-mastery
shanraisshan/claude-code-best-practice,4887,4887,422,37,37,6,https://github.com/shanraisshan/claude-code-best-practice
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3465,3465,322,1,1,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2118,2118,363,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6678,6678,328,5,5,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,75818,75818,7868,149,149,24,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2064,2064,289,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2410,2410,255,3,3,0,https://github.com/Cranot/claude-code-guide
ykdojo/claude-code-tips,3166,3166,227,7,7,0,https://github.com/ykdojo/claude-code-tips
anthropics/claude-code-base-action,588,588,592,0,0,1,https://github.com/anthropics/claude-code-base-action
anthropics/claude-code-security-review,3325,3325,261,4,4,1,https://github.com/anthropics/claude-code-security-review
Pimzino/claude-code-spec-workflow,3448,3448,246,-1,-1,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,29398,29398,3215,22,22,2,https://github.com/wshobson/agents
router-for-me/CLIProxyAPI,11668,11668,1874,15,15,5,https://github.com/router-for-me/CLIProxyAPI
eyaltoledano/claude-task-master,25637,25637,2435,6,6,0,https://github.com/eyaltoledano/claude-task-master
https-deeplearning-ai/sc-claude-code-files,422,422,583,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
siteboon/claudecodeui,7021,7021,883,87,87,7,https://github.com/siteboon/claudecodeui
edmund-io/edmunds-claude-code,1230,1230,256,3,3,0,https://github.com/edmund-io/edmunds-claude-code
pedrohcgs/claude-code-my-workflow,434,434,548,1,1,6,https://github.com/pedrohcgs/claude-code-my-workflow
snarktank/ralph,11292,11292,1241,31,31,1,https://github.com/snarktank/ralph
qwibitai/nanoclaw,14718,14718,2259,118,118,27,https://github.com/qwibitai/nanoclaw
RichardAtCT/claude-code-telegram,1649,1649,200,6,6,1,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,1493,1493,185,2,2,1,https://github.com/ding113/claude-code-hub
feiskyer/claude-code-settings,1232,1232,186,0,0,0,https://github.com/feiskyer/claude-code-settings
github/spec-kit,72048,72048,6200,61,61,2,https://github.com/github/spec-kit
EveryInc/compound-engineering-plugin,9567,9567,756,16,16,3,https://github.com/EveryInc/compound-engineering-plugin
lst97/claude-code-sub-agents,1432,1432,227,0,0,0,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,935,935,211,1,1,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,842,842,410,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
carlvellotti/claude-code-pm-course,1477,1477,215,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
sickn33/antigravity-awesome-skills,15577,15577,2875,81,81,17,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,240,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1914,1914,181,0,0,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,567,567,50,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
rizethereum/claude-code-requirements-builder,1746,1746,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,991,991,151,0,0,-1,https://github.com/andrepimenta/claude-code-chat
slopus/happy,13506,13506,1028,36,36,0,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1361,1361,169,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1137,1137,139,1,1,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1193,1193,342,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
anthropics/claude-plugins-official,8352,8352,818,13,13,1,https://github.com/anthropics/claude-plugins-official
bfly123/claude_code_bridge,1292,1292,120,1,1,0,https://github.com/bfly123/claude_code_bridge
peterkrueck/Claude-Code-Development-Kit,1313,1313,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
obra/superpowers,61880,61880,4727,381,381,29,https://github.com/obra/superpowers
winfunc/opcode,20675,20675,1592,0,0,0,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3968,3968,1313,1,1,1,https://github.com/EnzeD/vibe-coding
