full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,65675,65675,5036,169,169,14,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,43083,43083,5344,318,318,54,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,16798,16798,3596,31,31,5,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,27553,27553,2144,47,47,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,19972,19972,1858,70,70,3,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,23294,23294,1346,58,58,4,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5580,5580,1433,13,13,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8847,8847,1144,8,8,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,10077,10077,1084,55,55,1,https://github.com/VoltAgent/awesome-claude-code-subagents
frankbria/ralph-claude-code,6578,6578,461,39,39,2,https://github.com/frankbria/ralph-claude-code
OneRedOak/claude-code-workflows,3601,3601,533,0,0,-1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5270,5270,451,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4294,4294,636,27,27,5,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,3016,3016,402,0,0,1,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
disler/claude-code-hooks-mastery,2802,2802,540,45,45,2,https://github.com/disler/claude-code-hooks-mastery
Yuyz0112/claude-code-reverse,2071,2071,358,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
zebbern/claude-code-guide,3362,3362,307,10,10,3,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6467,6467,318,8,8,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,66787,66787,6657,440,440,46,https://github.com/anthropics/skills
Cranot/claude-code-guide,2346,2346,255,3,3,0,https://github.com/Cranot/claude-code-guide
fuergaosi233/claude-code-proxy,2009,2009,278,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,569,569,595,0,0,-1,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25381,25381,2427,10,10,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,28268,28268,3109,72,72,4,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3409,3409,246,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-code-security-review,2967,2967,228,5,5,0,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1154,1154,236,4,4,1,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,399,399,544,0,0,3,https://github.com/https-deeplearning-ai/sc-claude-code-files
snarktank/ralph,9880,9880,1141,87,87,3,https://github.com/snarktank/ralph
router-for-me/CLIProxyAPI,9963,9963,1579,69,69,16,https://github.com/router-for-me/CLIProxyAPI
ykdojo/claude-code-tips,2388,2388,152,191,191,16,https://github.com/ykdojo/claude-code-tips
ding113/claude-code-hub,1357,1357,177,3,3,1,https://github.com/ding113/claude-code-hub
github/spec-kit,68638,68638,5925,132,132,13,https://github.com/github/spec-kit
sugyan/claude-code-webui,899,899,204,0,0,0,https://github.com/sugyan/claude-code-webui
feiskyer/claude-code-settings,1184,1184,181,1,1,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,831,831,409,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,6119,6119,810,13,13,2,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1395,1395,223,1,1,-1,https://github.com/lst97/claude-code-sub-agents
nishimoto265/Claude-Code-Communication,488,488,239,0,0,-1,https://github.com/nishimoto265/Claude-Code-Communication
EveryInc/compound-engineering-plugin,7939,7939,631,303,303,21,https://github.com/EveryInc/compound-engineering-plugin
centminmod/my-claude-code-setup,1825,1825,176,3,3,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1739,1739,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
sickn33/antigravity-awesome-skills,8142,8142,1687,111,111,28,https://github.com/sickn33/antigravity-awesome-skills
andrepimenta/claude-code-chat,990,990,150,1,1,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,541,541,47,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,11062,11062,824,110,110,4,https://github.com/slopus/happy
shanraisshan/claude-code-best-practice,2152,2152,143,149,149,10,https://github.com/shanraisshan/claude-code-best-practice
zed-industries/claude-code-acp,906,906,143,3,3,-2,https://github.com/zed-industries/claude-code-acp
Njengah/claude-code-cheat-sheet,1301,1301,159,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1083,1083,130,2,2,1,https://github.com/steipete/claude-code-mcp
winfunc/opcode,20493,20493,1598,6,6,1,https://github.com/winfunc/opcode
disler/claude-code-hooks-multi-agent-observability,1025,1025,305,59,59,10,https://github.com/disler/claude-code-hooks-multi-agent-observability
EnzeD/vibe-coding,3895,3895,1256,5,5,3,https://github.com/EnzeD/vibe-coding
cixingguangming55555/wechat-bot,2531,2531,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
peterkrueck/Claude-Code-Development-Kit,1302,1302,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,923,923,115,0,0,0,https://github.com/jarrodwatts/claude-code-config
catlog22/Claude-Code-Workflow,1270,1270,105,3,3,2,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1026,1026,113,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
bfly123/claude_code_bridge,1116,1116,107,17,17,0,https://github.com/bfly123/claude_code_bridge
0xfurai/claude-code-subagents,694,694,135,6,6,0,https://github.com/0xfurai/claude-code-subagents
revfactory/claude-code-mastering,753,753,122,0,0,0,https://github.com/revfactory/claude-code-mastering
simonw/claude-code-transcripts,982,982,109,4,4,0,https://github.com/simonw/claude-code-transcripts
wasabeef/claude-code-cookbook,997,997,108,0,0,0,https://github.com/wasabeef/claude-code-cookbook
obra/superpowers,48704,48704,3687,438,438,26,https://github.com/obra/superpowers
